競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
船橋,13,C人気,C5+（穴人気）,303.0,6.0,13,27,2.0,4.3,8.9
船橋,1,BB順位,BB1（最上位）,20.0,4.0,5,7,20.0,25.0,35.0
船橋,1,BB順位,BB2-4（中位）,57.0,4.0,10,17,7.0,17.5,29.8
船橋,1,BB順位,BB5+（下位）,166.0,12.0,26,38,7.2,15.7,22.9
船橋,2,BB順位,BB1（最上位）,45.0,9.0,13,18,20.0,28.9,40.0
船橋,2,BB順位,BB2-4（中位）,124.0,18.0,35,54,14.5,28.2,43.5
船橋,2,BB順位,BB5+（下位）,353.0,20.0,47,69,5.7,13.3,19.5
船橋,3,BB順位,BB1（最上位）,30.0,15.0,19,22,50.0,63.3,73.3
船橋,3,BB順位,BB2-4（中位）,91.0,11.0,25,33,12.1,27.5,36.3
船橋,3,BB順位,BB5+（下位）,220.0,5.0,17,36,2.3,7.7,16.4
船橋,4,BB順位,BB1（最上位）,41.0,11.0,18,25,26.8,43.9,61.0
船橋,4,BB順位,BB2-4（中位）,124.0,19.0,33,43,15.3,26.6,34.7
船橋,4,BB順位,BB5+（下位）,273.0,12.0,33,58,4.4,12.1,21.2
船橋,5,BB順位,BB1（最上位）,48.0,7.0,15,20,14.6,31.2,41.7
船橋,5,BB順位,BB2-4（中位）,128.0,25.0,42,57,19.5,32.8,44.5
船橋,5,BB順位,BB5+（下位）,336.0,15.0,35,62,4.5,10.4,18.5
船橋,6,BB順位,BB1（最上位）,70.0,25.0,38,44,35.7,54.3,62.9
船橋,6,BB順位,BB2-4（中位）,205.0,23.0,51,78,11.2,24.9,38.0
船橋,6,BB順位,BB5+（下位）,531.0,23.0,54,91,4.3,10.2,17.1
船橋,7,BB順位,BB1（最上位）,52.0,22.0,30,35,42.3,57.7,67.3
船橋,7,BB順位,BB2-4（中位）,145.0,24.0,49,71,16.6,33.8,49.0
船橋,7,BB順位,BB5+（下位）,346.0,6.0,26,49,1.7,7.5,14.2
船橋,8,BB順位,BB1（最上位）,79.0,24.0,44,52,30.4,55.7,65.8
船橋,8,BB順位,BB2-4（中位）,230.0,29.0,62,97,12.6,27.0,42.2
船橋,8,BB順位,BB5+（下位）,539.0,26.0,51,86,4.8,9.5,16.0
船橋,9,BB順位,BB1（最上位）,61.0,24.0,39,48,39.3,63.9,78.7
船橋,9,BB順位,BB2-4（中位）,183.0,25.0,50,76,13.7,27.3,41.5
船橋,9,BB順位,BB5+（下位）,416.0,13.0,34,60,3.1,8.2,14.4
船橋,10,BB順位,BB1（最上位）,63.0,15.0,28,39,23.8,44.4,61.9
船橋,10,BB順位,BB2-4（中位）,177.0,33.0,62,92,18.6,35.0,52.0
船橋,10,BB順位,BB5+（下位）,447.0,16.0,39,63,3.6,8.7,14.1
船橋,11,BB順位,BB1（最上位）,36.0,23.0,31,34,63.9,86.1,94.4
船橋,11,BB順位,BB2-4（中位）,100.0,10.0,27,45,10.0,27.0,45.0
船橋,11,BB順位,BB5+（下位）,221.0,3.0,14,29,1.4,6.3,13.1
船橋,12,BB順位,BB1（最上位）,50.0,25.0,39,43,50.0,78.0,86.0
船橋,12,BB順位,BB2-4（中位）,152.0,19.0,39,67,12.5,25.7,44.1
船橋,12,BB順位,BB5+（下位）,322.0,6.0,23,41,1.9,7.1,12.7
船橋,13,BB順位,BB1（最上位）,46.0,14.0,29,37,30.4,63.0,80.4
船橋,13,BB順位,BB2-4（中位）,132.0,23.0,43,67,17.4,32.6,50.8
船橋,13,BB順位,BB5+（下位）,305.0,9.0,20,34,3.0,6.6,11.1
船橋,1,単勝オッズ帯,O1（1.0〜2.9倍）,6.0,2.0,4,4,33.3,66.7,66.7
船橋,1,単勝オッズ帯,O2（3.0〜6.9倍）,44.0,10.0,13,21,22.7,29.5,47.7
船橋,1,単勝オッズ帯,O3（7.0〜14.9倍）,34.0,0.0,4,6,0.0,11.8,17.6
船橋,1,単勝オッズ帯,O4（15.0〜29.9倍）,24.0,2.0,5,8,8.3,20.8,33.3
船橋,1,単勝オッズ帯,O5（30.0倍以上）,48.0,0.0,2,3,0.0,4.2,6.2
船橋,2,単勝オッズ帯,O1（1.0〜2.9倍）,26.0,7.0,13,19,26.9,50.0,73.1
船橋,2,単勝オッズ帯,O2（3.0〜6.9倍）,195.0,34.0,64,89,17.4,32.8,45.6
船橋,2,単勝オッズ帯,O3（7.0〜14.9倍）,123.0,9.0,22,36,7.3,17.9,29.3
船橋,2,単勝オッズ帯,O4（15.0〜29.9倍）,105.0,6.0,12,19,5.7,11.4,18.1
船橋,2,単勝オッズ帯,O5（30.0倍以上）,233.0,3.0,7,14,1.3,3.0,6.0
