index,RPT,総合ランク,Web_複勝期待値_レンジ,試行回数,複勝的中数,複勝投資額,複勝払戻額,複勝的中率(%),複勝回収率(%),単勝的中数,単勝投資額,単勝払戻額,単勝的中率(%),単勝回収率(%)
1012,9,E,"[1.2, 1.4)",4,0,400,0,0,0,0,400,0,0,0
1013,9,E,"[2.0, 100.0)",3,0,300,0,0,0,0,300,0,0,0
1014,9,F,"[0.0, 0.25)",31,1,3100,400,3.225806452,12.90322581,0,3100,0,0,0
1015,9,F,"[0.25, 0.5)",105,4,10500,4010,3.80952381,38.19047619,1,10500,2480,0.952380952,23.61904762
1016,9,F,"[0.5, 0.75)",92,6,9200,4340,6.52173913,47.17391304,1,9200,4350,1.086956522,47.2826087
1017,9,F,"[0.75, 0.8)",9,1,900,1150,11.11111111,127.7777778,0,900,0,0,0
1018,9,F,"[0.8, 0.85)",11,0,1100,0,0,0,0,1100,0,0,0
1019,9,F,"[0.85, 0.9)",3,0,300,0,0,0,0,300,0,0,0
1020,9,F,"[0.9, 0.95)",4,1,400,450,25,112.5,0,400,0,0,0
1021,9,F,"[0.95, 1.0)",5,0,500,0,0,0,0,500,0,0,0
1022,9,F,"[1.0, 1.05)",3,0,300,0,0,0,0,300,0,0,0
1023,9,F,"[1.1, 1.15)",3,0,300,0,0,0,0,300,0,0,0
1024,9,F,"[1.2, 1.4)",3,0,300,0,0,0,0,300,0,0,0
1025,9,F,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
1026,9,G,"[0.0, 0.25)",35,0,3500,0,0,0,0,3500,0,0,0
1027,9,G,"[0.25, 0.5)",73,3,7300,5180,4.109589041,70.95890411,0,7300,0,0,0
1028,9,G,"[0.5, 0.75)",38,0,3800,0,0,0,0,3800,0,0,0
1029,9,G,"[0.75, 0.8)",8,0,800,0,0,0,0,800,0,0,0
